Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present
Brooke Army Medical Center,TX,Healthcare Provider,1000,10/21/2009,Theft,Paper/Films,No
"Mid America Kidney Stone Association, LLC",MO,Healthcare Provider,1000,10/28/2009,Theft,Network Server,No
Alaska Department of Health and Social Services,AK,Healthcare Provider,501,10/30/2009,Theft,"Other, Other Portable Electronic Device",No
"Health Services for Children with Special Needs, Inc.",DC,Health Plan,3800,11/17/2009,Loss,Laptop,No
"Mark D. Lurie, MD",CA,Healthcare Provider,5166,11/20/2009,Theft,Desktop Computer,No
"L. Douglas Carlson, M.D.",CA,Healthcare Provider,5257,11/20/2009,Theft,Desktop Computer,No
"David I. Cohen, MD",CA,Healthcare Provider,857,11/20/2009,Theft,Desktop Computer,No
"Michele Del Vicario, MD",CA,Healthcare Provider,6145,11/20/2009,Theft,Desktop Computer,No
"Joseph F. Lopez, MD",CA,Healthcare Provider,952,11/20/2009,Theft,Desktop Computer,No
City of Hope National Medical Center,CA,Healthcare Provider,5900,11/23/2009,Theft,Laptop,No
The Children's Hospital of Philadelphia,PA,Healthcare Provider,943,11/24/2009,Theft,Laptop,No
"Cogent Healthcare, Inc.",TN,Business Associate,6400,11/25/2009,Theft,Laptop,Yes
"Democracy Data & Communications, LLC (",VA,Business Associate,83000,12/8/2009,Other,Paper/Films,Yes
Kern Medical Center,CA,Healthcare Provider,596,12/10/2009,Theft,Other,No
"Rick Lawson, Professional Computer Services",NC,Business Associate,2000,12/11/2009,Theft,"Desktop Computer, Electronic Medical Record, Network Server",Yes
Detroit Department of Health and Wellness Promotion,MI,Healthcare Provider,646,12/15/2009,Theft,"Desktop Computer, Laptop",No
Detroit Department of Health and Wellness Promotion,MI,Healthcare Provider,10000,12/15/2009,Theft,Other Portable Electronic Device,No
"University of California, San Francisco",CA,Healthcare Provider,610,12/15/2009,Other,Email,No
Daniel J. Sigman MD PC,MA,Business Associate,1860,1/7/2010,Theft,"Electronic Medical Record, Other, Other Portable Electronic Device",Yes
Service Benefits Plan Administrative Services Corp,DC,Business Associate,3400,1/8/2010,Theft,Paper/Films,Yes
Massachusetts Eye and Ear Infirmary,MA,Healthcare Provider,1076,1/8/2010,Theft,Other,No
Merkle Direct Marketing,MD,Business Associate,15000,1/11/2010,Theft,Paper/Films,Yes
Kaiser Permanente Medical Care Program,CA,Healthcare Provider,15500,1/12/2010,Theft,"Other, Other Portable Electronic Device",No
United Micro Data,ID,Business Associate,2562,1/14/2010,Theft,Other,Yes
"Goodwill Industries of Greater Grand Rapids, Inc.",MI,Healthcare Provider,10000,1/15/2010,Theft,Other,No
Children's Medical Center of Dallas,TX,Healthcare Provider,3800,1/18/2010,Loss,"Other, Other Portable Electronic Device",No
Ashley and Gray DDS,MO,Healthcare Provider,9309,1/19/2010,Theft,Desktop Computer,No
Concentra,TX,Healthcare Provider,900,1/19/2010,Theft,Laptop,No
Advocate Health Care,IL,Healthcare Provider,812,1/22/2010,Theft,Laptop,No
The Methodist Hospital,TX,Healthcare Provider,689,1/25/2010,Theft,Other,No
"University of California, San Francisco",CA,Healthcare Provider,7300,1/27/2010,Theft,Laptop,No
Carle Clinic Association,IL,Healthcare Provider,1300,1/28/2010,Theft,"Other, Paper/Films",No
Health Behavior Innovations (HBI),UT,Business Associate,5700,2/5/2010,Theft,Other,Yes
Center for Neurosciences,AZ,Healthcare Provider,1100,2/10/2010,Theft,Laptop,No
Blue Cross Blue Shield of RI,RI,Business Associate,528,2/16/2010,Other,Paper/Films,Yes
MSO of Puerto Rico,PR,Business Associate,605,2/17/2010,Theft,Paper/Films,Yes
"MSO of Puerto Rico, Inc. ",PR,Business Associate,1907,2/17/2010,Theft,Paper/Films,Yes
Cardiology Consultants/Baptist Health Care Corporation,FL,Healthcare Provider,8000,2/18/2010,Theft,Desktop Computer,No
"State of TN, Bureau of TennCare",TN,Health Plan,3900,2/19/2010,Theft,Paper/Films,No
Lucille Packard Children's Hospital,CA,Healthcare Provider,532,2/21/2010,Other,Desktop Computer,No
